Vértice: 27736, Pai: 43766, Nível: 2574
Vértice: 43766, Pai: 17405, Nível: 2573
Vértice: 17405, Pai: 19586, Nível: 2572
Vértice: 13846, Pai: 19586, Nível: 2572
Vértice: 19586, Pai: 32071, Nível: 2571
Vértice: 32071, Pai: 11892, Nível: 2570
Vértice: 11892, Pai: 7396, Nível: 2569
Vértice: 7396, Pai: 37294, Nível: 2568
Vértice: 37294, Pai: 8690, Nível: 2567
Vértice: 8690, Pai: 27931, Nível: 2566
Vértice: 27931, Pai: 36406, Nível: 2565
Vértice: 36406, Pai: 34249, Nível: 2564
Vértice: 16653, Pai: 34249, Nível: 2564
Vértice: 34249, Pai: 32411, Nível: 2563
Vértice: 32411, Pai: 5962, Nível: 2562
Vértice: 5962, Pai: 41653, Nível: 2561
Vértice: 41653, Pai: 30014, Nível: 2560
Vértice: 14695, Pai: 22238, Nível: 2561
Vértice: 22238, Pai: 30014, Nível: 2560
Vértice: 30014, Pai: 40743, Nível: 2559
Vértice: 6963, Pai: 40743, Nível: 2559
Vértice: 40743, Pai: 25477, Nível: 2558
Vértice: 25477, Pai: 40932, Nível: 2557
Vértice: 25711, Pai: 40932, Nível: 2557
Vértice: 40932, Pai: 38094, Nível: 2556
Vértice: 38094, Pai: 27250, Nível: 2555
Vértice: 27250, Pai: 12012, Nível: 2554
Vértice: 25463, Pai: 41845, Nível: 2556
Vértice: 41845, Pai: 23644, Nível: 2555
Vértice: 23644, Pai: 12012, Nível: 2554
Vértice: 29816, Pai: 12012, Nível: 2554
Vértice: 12012, Pai: 35872, Nível: 2553
Vértice: 11257, Pai: 35872, Nível: 2553
Vértice: 35872, Pai: 19109, Nível: 2552
Vértice: 19109, Pai: 13342, Nível: 2551
Vértice: 22252, Pai: 28180, Nível: 2552
Vértice: 18523, Pai: 39725, Nível: 2553
Vértice: 43819, Pai: 23172, Nível: 2555
Vértice: 23172, Pai: 19113, Nível: 2554
Vértice: 19113, Pai: 39725, Nível: 2553
Vértice: 39725, Pai: 28180, Nível: 2552
Vértice: 28180, Pai: 13342, Nível: 2551
Vértice: 13342, Pai: 14249, Nível: 2550
Vértice: 14249, Pai: 24301, Nível: 2549
Vértice: 24301, Pai: 4297, Nível: 2548
Vértice: 27820, Pai: 4297, Nível: 2548
Vértice: 10407, Pai: 4297, Nível: 2548
Vértice: 4297, Pai: 8110, Nível: 2547
Vértice: 8110, Pai: 37459, Nível: 2546
Vértice: 37459, Pai: 12891, Nível: 2545
Vértice: 12891, Pai: 15864, Nível: 2544
Vértice: 43208, Pai: 46188, Nível: 2545
Vértice: 46188, Pai: 15864, Nível: 2544
Vértice: 15864, Pai: 26283, Nível: 2543
Vértice: 15382, Pai: 26283, Nível: 2543
Vértice: 26283, Pai: 20463, Nível: 2542
Vértice: 20463, Pai: 46185, Nível: 2541
Vértice: 46185, Pai: 23973, Nível: 2540
Vértice: 23973, Pai: 46678, Nível: 2539
Vértice: 46678, Pai: 36043, Nível: 2538
Vértice: 36043, Pai: 3363, Nível: 2537
Vértice: 3363, Pai: 44414, Nível: 2536
Vértice: 44414, Pai: 21007, Nível: 2535
Vértice: 31595, Pai: 47737, Nível: 2537
Vértice: 47737, Pai: 37334, Nível: 2536
Vértice: 37334, Pai: 21007, Nível: 2535
Vértice: 21007, Pai: 25636, Nível: 2534
Vértice: 25636, Pai: 48859, Nível: 2533
Vértice: 48859, Pai: 39415, Nível: 2532
Vértice: 39415, Pai: 34971, Nível: 2531
Vértice: 34971, Pai: 18319, Nível: 2530
Vértice: 18319, Pai: 42580, Nível: 2529
Vértice: 42580, Pai: 7496, Nível: 2528
Vértice: 7496, Pai: 9322, Nível: 2527
Vértice: 31997, Pai: 9322, Nível: 2527
Vértice: 9322, Pai: 13591, Nível: 2526
Vértice: 13591, Pai: 894, Nível: 2525
Vértice: 894, Pai: 48562, Nível: 2524
Vértice: 48562, Pai: 11807, Nível: 2523
Vértice: 11807, Pai: 1733, Nível: 2522
Vértice: 9117, Pai: 1733, Nível: 2522
Vértice: 1733, Pai: 34831, Nível: 2521
Vértice: 46231, Pai: 34831, Nível: 2521
Vértice: 34831, Pai: 33270, Nível: 2520
Vértice: 33270, Pai: 5152, Nível: 2519
Vértice: 1714, Pai: 5152, Nível: 2519
Vértice: 5152, Pai: 31291, Nível: 2518
Vértice: 31291, Pai: 20447, Nível: 2517
Vértice: 20447, Pai: 3502, Nível: 2516
Vértice: 3502, Pai: 38942, Nível: 2515
Vértice: 38942, Pai: 7126, Nível: 2514
Vértice: 7126, Pai: 23122, Nível: 2513
Vértice: 23122, Pai: 13360, Nível: 2512
Vértice: 13360, Pai: 7890, Nível: 2511
Vértice: 7890, Pai: 18174, Nível: 2510
Vértice: 18174, Pai: 3719, Nível: 2509
Vértice: 3719, Pai: 31951, Nível: 2508
Vértice: 31951, Pai: 30114, Nível: 2507
Vértice: 13094, Pai: 30114, Nível: 2507
Vértice: 30114, Pai: 32868, Nível: 2506
Vértice: 32868, Pai: 39028, Nível: 2505
Vértice: 39028, Pai: 9865, Nível: 2504
Vértice: 9865, Pai: 13705, Nível: 2503
Vértice: 13705, Pai: 19675, Nível: 2502
Vértice: 19675, Pai: 15387, Nível: 2501
Vértice: 15387, Pai: 22477, Nível: 2500
Vértice: 22477, Pai: 49347, Nível: 2499
Vértice: 49347, Pai: 32854, Nível: 2498
Vértice: 6567, Pai: 32854, Nível: 2498
Vértice: 32854, Pai: 32901, Nível: 2497
